ID,Gemeente,Bevolking,niscode,DATE,COUNT,color
42,SINT-KATELIJNE-WAVER,21018,12035,2020-03-31,3,blue
43,WILLEBROEK,26822,12040,2020-03-31,1,blue
44,ARENDONK,13281,13001,2020-03-31,0,red
45,BAARLE-HERTOG,2845,13002,2020-03-31,0,blue
46,BALEN,22812,13003,2020-03-31,0,red
47,BEERSE,18116,13004,2020-03-31,2,green
48,DESSEL,9601,13006,2020-03-31,0,blue
49,GEEL,40682,13008,2020-03-31,3,blue
50,GROBBENDONK,11163,13010,2020-03-31,1,blue
51,HERENTALS,28267,13011,2020-03-31,5,yellow
52,HERENTHOUT,9094,13012,2020-03-31,1,red
53,HERSELT,14519,13013,2020-03-31,3,yellow
54,HOOGSTRATEN,21386,13014,2020-03-31,0,yellow
55,HULSHOUT,10468,13016,2020-03-31,0,green
56,KASTERLEE,18884,13017,2020-03-31,0,blue
57,LILLE,16551,13019,2020-03-31,3,blue
58,MEERHOUT,10320,13021,2020-03-31,0,blue
59,MERKSPLAS,8582,13023,2020-03-31,2,red
60,MOL,37011,13025,2020-03-31,1,yellow
61,OLEN,12558,13029,2020-03-31,2,red
62,OUD-TURNHOUT,13953,13031,2020-03-31,1,blue
63,RAVELS,14988,13035,2020-03-31,1,green
64,RETIE,11497,13036,2020-03-31,0,red
65,RIJKEVORSEL,12169,13037,2020-03-31,0,blue
66,TURNHOUT,45205,13040,2020-03-31,3,red
67,VORSELAAR,7932,13044,2020-03-31,0,yellow
68,VOSSELAAR,11344,13046,2020-03-31,1,red
69,WESTERLO,25100,13049,2020-03-31,0,yellow
70,LAAKDAL,16145,13053,2020-03-31,2,yellow
71,ANDERLECHT,120009,21001,2020-03-31,14,blue
72,OUDERGEM,34342,21002,2020-03-31,4,green
73,SINT-AGATHA-BERCHEM,25553,21003,2020-03-31,3,blue
74,BRUSSEL,183287,21004,2020-03-31,11,blue
75,ETTERBEEK,48194,21005,2020-03-31,9,yellow
76,EVERE,42444,21006,2020-03-31,8,green
77,VORST,56441,21007,2020-03-31,11,red
78,GANSHOREN,25222,21008,2020-03-31,4,green
79,ELSENE,87385,21009,2020-03-31,12,red
80,JETTE,52459,21010,2020-03-31,5,red
81,KOEKELBERG,21886,21011,2020-03-31,3,red
82,SINT-JANS-MOLENBEEK,97365,21012,2020-03-31,9,yellow
83,SINT-GILLIS,49094,21013,2020-03-31,5,yellow
84,SINT-JOOST-TEN-NODE,27199,21014,2020-03-31,4,red
85,SCHAARBEEK,131548,21015,2020-03-31,8,blue
86,UKKEL,83631,21016,2020-03-31,8,blue
87,WATERMAAL-BOSVOORDE,25318,21017,2020-03-31,2,blue
88,SINT-LAMBRECHTS-WOLUWE,57583,21018,2020-03-31,4,yellow
89,SINT-PIETERS-WOLUWE,42066,21019,2020-03-31,4,red
90,ASSE,33450,23002,2020-03-31,2,yellow
91,BEERSEL,25323,23003,2020-03-31,2,yellow
92,BEVER,2177,23009,2020-03-31,0,blue
93,DILBEEK,43460,23016,2020-03-31,1,yellow
94,GALMAARDEN,8840,23023,2020-03-31,0,red
95,GOOIK,9176,23024,2020-03-31,0,blue
96,GRIMBERGEN,37915,23025,2020-03-31,1,green
97,HALLE,40178,23027,2020-03-31,2,yellow
98,HERNE,6698,23032,2020-03-31,0,yellow
99,HOEILAART,11407,23033,2020-03-31,0,green
100,KAMPENHOUT,12129,23038,2020-03-31,2,blue
101,KAPELLE-OP-DEN-BOS,9479,23039,2020-03-31,1,red
102,LIEDEKERKE,13387,23044,2020-03-31,0,yellow
103,LONDERZEEL,18872,23045,2020-03-31,1,blue
104,MACHELEN,15582,23047,2020-03-31,1,yellow
105,MEISE,19629,23050,2020-03-31,0,yellow
106,MERCHTEM,16757,23052,2020-03-31,1,blue
107,OPWIJK,14741,23060,2020-03-31,1,blue
108,OVERIJSE,25492,23062,2020-03-31,3,red
109,PEPINGEN,4538,23064,2020-03-31,0,yellow
110,SINT-PIETERS-LEEUW,34617,23077,2020-03-31,2,green
111,STEENOKKERZEEL,12271,23081,2020-03-31,2,red
112,TERNAT,15994,23086,2020-03-31,2,red
113,VILVOORDE,45478,23088,2020-03-31,3,yellow
114,ZAVENTEM,34716,23094,2020-03-31,4,green
115,ZEMST,23264,23096,2020-03-31,4,green
116,ROOSDAAL,11662,23097,2020-03-31,3,yellow
117,DROGENBOS,5664,23098,2020-03-31,1,red
118,KRAAINEM,13807,23099,2020-03-31,3,yellow
119,LINKEBEEK,4697,23100,2020-03-31,0,red
120,SINT-GENESIUS-RODE,18523,23101,2020-03-31,1,red
121,WEMMEL,16789,23102,2020-03-31,0,yellow
122,WEZEMBEEK-OPPEM,14250,23103,2020-03-31,1,red
123,LENNIK,9102,23104,2020-03-31,0,green
124,AFFLIGEM,13351,23105,2020-03-31,1,blue
125,AARSCHOT,30175,24001,2020-03-31,5,yellow
126,BEGIJNENDIJK,10244,24007,2020-03-31,0,yellow
127,BEKKEVOORT,6327,24008,2020-03-31,0,yellow
128,BERTEM,10135,24009,2020-03-31,1,yellow
129,BIERBEEK,10153,24011,2020-03-31,0,blue
130,BOORTMEERBEEK,12621,24014,2020-03-31,0,red
131,BOUTERSEM,8234,24016,2020-03-31,0,green
132,DIEST,24201,24020,2020-03-31,7,yellow
133,GEETBETS,6130,24028,2020-03-31,0,green
134,HAACHT,14834,24033,2020-03-31,2,green
135,HERENT,21912,24038,2020-03-31,1,yellow
136,HOEGAARDEN,6855,24041,2020-03-31,0,yellow
137,HOLSBEEK,10061,24043,2020-03-31,2,red
138,HULDENBERG,9941,24045,2020-03-31,1,yellow
139,KEERBERGEN,12963,24048,2020-03-31,1,green
140,KORTENAKEN,7891,24054,2020-03-31,1,yellow
141,KORTENBERG,20293,24055,2020-03-31,0,green
142,LANDEN,16080,24059,2020-03-31,4,blue
143,LEUVEN,102126,24062,2020-03-31,9,blue
144,LUBBEEK,14561,24066,2020-03-31,3,yellow
145,OUD-HEVERLEE,11086,24086,2020-03-31,0,red
146,ROTSELAAR,16999,24094,2020-03-31,1,yellow
147,TERVUREN,22699,24104,2020-03-31,4,red
148,TIENEN,35287,24107,2020-03-31,5,red
149,TREMELO,14913,24109,2020-03-31,0,red
150,ZOUTLEEUW,8578,24130,2020-03-31,1,blue
151,LINTER,7263,24133,2020-03-31,0,yellow
152,SCHERPENHEUVEL-ZICHEM,23073,24134,2020-03-31,4,yellow
153,TIELT-WINGE,10783,24135,2020-03-31,2,blue
154,GLABBEEK,5315,24137,2020-03-31,0,blue
155,BEVEKOM,7205,25005,2020-03-31,0,blue
156,EIGENBRAKEL,40168,25014,2020-03-31,2,blue
157,KASTEELBRAKEL,10538,25015,2020-03-31,1,green
158,CHAUMONT-GISTOUX,11626,25018,2020-03-31,1,yellow
159,COURT-SAINT-ETIENNE,10581,25023,2020-03-31,0,green
160,GENEPIËN,15536,25031,2020-03-31,1,yellow
161,GRAVEN,13871,25037,2020-03-31,0,yellow
162,INCOURT,5511,25043,2020-03-31,0,red
163,ITTER,6957,25044,2020-03-31,0,red
164,GELDENAKEN,14354,25048,2020-03-31,1,yellow
165,TERHULPEN,7443,25050,2020-03-31,1,green
166,MONT-SAINT-GUIBERT,7887,25068,2020-03-31,0,red
167,NIJVEL,28866,25072,2020-03-31,0,yellow
168,PERWIJS,9463,25084,2020-03-31,1,green
169,RIXENSART,22651,25091,2020-03-31,2,red
170,TUBEKE,26656,25105,2020-03-31,4,yellow
171,VILLERS-LA-VILLE,10795,25107,2020-03-31,0,red
172,WATERLOO,30352,25110,2020-03-31,2,red
173,WAVER,34757,25112,2020-03-31,2,green
174,CHASTRE,7688,25117,2020-03-31,1,green
175,HELECINE,3643,25118,2020-03-31,0,yellow
176,LASNE,14248,25119,2020-03-31,1,red
177,ORP-JAUCHE,8981,25120,2020-03-31,0,red
178,OTTIGNIES-LOUVAIN-LA-NEUVE,31330,25121,2020-03-31,1,blue
179,RAMILLIES,6553,25122,2020-03-31,0,red
180,REBECQ,10928,25123,2020-03-31,1,green
181,WALHAIN,7364,25124,2020-03-31,0,green
182,BEERNEM,15814,31003,2020-03-31,1,red
183,BLANKENBERGE,20444,31004,2020-03-31,1,green
184,BRUGGE,118536,31005,2020-03-31,13,blue
185,DAMME,11018,31006,2020-03-31,1,green
186,JABBEKE,13863,31012,2020-03-31,0,red
187,OOSTKAMP,23800,31022,2020-03-31,2,yellow
188,TORHOUT,20438,31033,2020-03-31,2,blue
189,ZEDELGEM,22863,31040,2020-03-31,5,red
190,ZUIENKERKE,2707,31042,2020-03-31,0,yellow
191,KNOKKE-HEIST,33023,31043,2020-03-31,2,green
192,DIKSMUIDE,16826,32003,2020-03-31,2,red
193,HOUTHULST,10105,32006,2020-03-31,0,red
194,KOEKELARE,8756,32010,2020-03-31,0,yellow
195,KORTEMARK,12659,32011,2020-03-31,0,red
196,LO-RENINGE,3290,32030,2020-03-31,3,red
197,IEPER,34988,33011,2020-03-31,7,red
198,MESEN,1040,33016,2020-03-31,0,blue
199,POPERINGE,19713,33021,2020-03-31,7,green
200,WERVIK,18892,33029,2020-03-31,3,yellow
201,ZONNEBEKE,12504,33037,2020-03-31,1,red
202,HEUVELLAND,7924,33039,2020-03-31,0,green
203,LANGEMARK-POELKAPELLE,7823,33040,2020-03-31,1,blue
204,VLETEREN,3653,33041,2020-03-31,0,green
205,ANZEGEM,14773,34002,2020-03-31,4,yellow
206,AVELGEM,10205,34003,2020-03-31,1,blue
207,DEERLIJK,12080,34009,2020-03-31,9,yellow
208,HARELBEKE,28474,34013,2020-03-31,3,green
209,KORTRIJK,77076,34022,2020-03-31,9,blue
210,KUURNE,13674,34023,2020-03-31,4,blue
211,LENDELEDE,5783,34025,2020-03-31,0,blue
212,MENEN,33527,34027,2020-03-31,6,blue
213,WAREGEM,38347,34040,2020-03-31,2,blue
214,WEVELGEM,31557,34041,2020-03-31,4,blue
215,ZWEVEGEM,24808,34042,2020-03-31,2,yellow
216,SPIERE-HELKIJN,2066,34043,2020-03-31,0,green
217,BREDENE,18129,35002,2020-03-31,1,red
218,GISTEL,12172,35005,2020-03-31,3,blue
219,ICHTEGEM,14037,35006,2020-03-31,4,green
220,MIDDELKERKE,19568,35011,2020-03-31,1,green
221,OOSTENDE,71561,35013,2020-03-31,4,blue
222,OUDENBURG,9487,35014,2020-03-31,2,red
223,DE HAAN,12703,35029,2020-03-31,1,green
224,HOOGLEDE,9977,36006,2020-03-31,2,yellow
225,INGELMUNSTER,11122,36007,2020-03-31,0,red
226,IZEGEM,28311,36008,2020-03-31,3,yellow
227,LEDEGEM,9681,36010,2020-03-31,1,yellow
228,LICHTERVELDE,8954,36011,2020-03-31,0,yellow
229,MOORSLEDE,11429,36012,2020-03-31,2,red
230,ROESELARE,63402,36015,2020-03-31,11,blue
231,STADEN,11515,36019,2020-03-31,0,yellow
232,DENTERGEM,8615,37002,2020-03-31,1,red
233,MEULEBEKE,10815,37007,2020-03-31,0,yellow
234,OOSTROZEBEKE,7913,37010,2020-03-31,1,green
235,PITTEM,6713,37011,2020-03-31,1,green
236,RUISELEDE,5360,37012,2020-03-31,1,green
237,TIELT,20600,37015,2020-03-31,2,blue
238,WIELSBEKE,9820,37017,2020-03-31,2,blue
239,WINGENE,14410,37018,2020-03-31,3,red
240,ARDOOIE,9083,37020,2020-03-31,0,yellow
241,ALVERINGEM,4992,38002,2020-03-31,1,green
242,DE PANNE,11123,38008,2020-03-31,1,green
243,KOKSIJDE,21869,38014,2020-03-31,2,green
244,NIEUWPOORT,11623,38016,2020-03-31,2,red
245,VEURNE,12096,38025,2020-03-31,0,yellow
246,AALST,87204,41002,2020-03-31,1,yellow
247,DENDERLEEUW,20532,41011,2020-03-31,0,red
248,GERAARDSBERGEN,33563,41018,2020-03-31,0,blue
249,HAALTERT,18570,41024,2020-03-31,1,yellow
250,HERZELE,18175,41027,2020-03-31,0,blue
251,LEDE,18864,41034,2020-03-31,0,yellow
252,NINOVE,39255,41048,2020-03-31,1,green
253,SINT-LIEVENS-HOUTEM,10397,41063,2020-03-31,0,red
254,ZOTTEGEM,26685,41081,2020-03-31,1,green
255,ERPE-MERE,20127,41082,2020-03-31,0,yellow
256,BERLARE,15090,42003,2020-03-31,0,blue
257,BUGGENHOUT,14652,42004,2020-03-31,1,blue
258,DENDERMONDE,45849,42006,2020-03-31,5,blue
259,HAMME,24930,42008,2020-03-31,1,yellow
260,LAARNE,12367,42010,2020-03-31,2,red
261,LEBBEKE,19531,42011,2020-03-31,0,blue
262,WAASMUNSTER,10929,42023,2020-03-31,2,yellow
263,WETTEREN,25936,42025,2020-03-31,2,blue
264,WICHELEN,11643,42026,2020-03-31,6,red
265,ZELE,21322,42028,2020-03-31,0,yellow
266,ASSENEDE,14289,43002,2020-03-31,0,blue
267,EEKLO,21276,43005,2020-03-31,0,blue
268,KAPRIJKE,6436,43007,2020-03-31,0,blue
269,MALDEGEM,23957,43010,2020-03-31,0,blue
270,SINT-LAUREINS,6814,43014,2020-03-31,0,red
271,ZELZATE,12889,43018,2020-03-31,0,blue
272,AALTER,20548,44001,2020-03-31,1,red
273,DEINZE,31085,44011,2020-03-31,1,yellow
274,DE PINTE,10878,44012,2020-03-31,0,green
275,DESTELBERGEN,18525,44013,2020-03-31,2,red
276,EVERGEM,35611,44019,2020-03-31,1,yellow
277,GAVERE,12905,44020,2020-03-31,0,red
278,GENT,263614,44021,2020-03-31,18,red
279,KNESSELARE,8236,44029,2020-03-31,1,yellow
280,LOCHRISTI,22605,44034,2020-03-31,1,red
281,LOVENDEGEM,9574,44036,2020-03-31,1,yellow
282,MELLE,11803,44040,2020-03-31,2,red
283,MERELBEKE,24755,44043,2020-03-31,3,green
284,MOERBEKE,6566,44045,2020-03-31,1,blue
285,NAZARETH,11701,44048,2020-03-31,0,red
286,NEVELE,12179,44049,2020-03-31,0,green
287,OOSTERZELE,13678,44052,2020-03-31,1,blue
288,SINT-MARTENS-LATEM,8366,44064,2020-03-31,1,blue
289,WAARSCHOOT,7967,44072,2020-03-31,1,red
290,WACHTEBEKE,7812,44073,2020-03-31,2,red
291,ZOMERGEM,8466,44080,2020-03-31,1,green
292,ZULTE,15779,44081,2020-03-31,2,blue
293,KRUISHOUTEM,8086,45017,2020-03-31,0,yellow
294,OUDENAARDE,31587,45035,2020-03-31,5,yellow
295,RONSE,26375,45041,2020-03-31,22,red
296,ZINGEM,7552,45057,2020-03-31,0,blue
297,BRAKEL,14809,45059,2020-03-31,2,yellow
298,KLUISBERGEN,6566,45060,2020-03-31,2,yellow
299,WORTEGEM-PETEGEM,6395,45061,2020-03-31,3,red
300,HOREBEKE,2024,45062,2020-03-31,0,green
301,LIERDE,6573,45063,2020-03-31,0,red
302,MAARKEDAL,6337,45064,2020-03-31,1,yellow
303,ZWALM,8165,45065,2020-03-31,0,yellow
304,BEVEREN,49000,46003,2020-03-31,3,red
305,KRUIBEKE,16842,46013,2020-03-31,1,red
306,LOKEREN,42027,46014,2020-03-31,1,green
307,SINT-GILLIS-WAAS,19481,46020,2020-03-31,2,yellow
308,SINT-NIKLAAS,78520,46021,2020-03-31,12,blue
309,STEKENE,18677,46024,2020-03-31,0,yellow
310,TEMSE,30166,46025,2020-03-31,4,red
311,AAT,29487,51004,2020-03-31,2,red
312,BELOEIL,14036,51008,2020-03-31,0,blue
313,BERNISSART,11855,51009,2020-03-31,1,yellow
314,BRUGELETTE,3712,51012,2020-03-31,1,red
315,CHIEVRES,6916,51014,2020-03-31,0,green
316,ELZELE,5995,51017,2020-03-31,0,green
317,VLOESBERG,3429,51019,2020-03-31,2,blue
318,FRASNES-LEZ-ANVAING,11814,51065,2020-03-31,3,green
319,CHAPELLE-LEZ-HERLAIMONT,14790,52010,2020-03-31,3,yellow
320,CHARLEROI,202376,52011,2020-03-31,3,green
321,CHATELET,35620,52012,2020-03-31,1,blue
322,COURCELLES,31132,52015,2020-03-31,0,blue
323,FARCIENNES,11249,52018,2020-03-31,0,blue
324,FLEURUS,23022,52021,2020-03-31,0,blue
325,FONTAINE-L'EVEQUE,17800,52022,2020-03-31,1,yellow
326,GERPINNES,12795,52025,2020-03-31,1,yellow
327,MANAGE,23122,52043,2020-03-31,5,blue
328,MONTIGNY-LE-TILLEUL,10124,52048,2020-03-31,1,red
329,PONT-A-CELLES,17231,52055,2020-03-31,1,green
330,SENEFFE,11272,52063,2020-03-31,2,yellow
331,AISEAU-PRESLES,10736,52074,2020-03-31,1,yellow
332,LES BONS VILLERS,9474,52075,2020-03-31,2,yellow
333,BOUSSU,19850,53014,2020-03-31,0,blue
334,DOUR,16515,53020,2020-03-31,3,red
335,FRAMERIES,21966,53028,2020-03-31,8,blue
336,HENSIES,6859,53039,2020-03-31,1,green
337,JURBEKE,10538,53044,2020-03-31,0,yellow
338,LENS,4579,53046,2020-03-31,1,green
339,BERGEN,95568,53053,2020-03-31,17,blue
340,QUAREGNON,18875,53065,2020-03-31,6,yellow
341,QUIEVRAIN,6730,53068,2020-03-31,1,green
342,SAINT-GHISLAIN,23401,53070,2020-03-31,7,green
343,COLFONTAINE,20736,53082,2020-03-31,2,yellow
344,HONNELLES,5159,53083,2020-03-31,1,green
345,QUEVY,8087,53084,2020-03-31,3,green
346,MOESKROEN,58234,54007,2020-03-31,6,blue
347,KOMEN-WAASTEN,18063,54010,2020-03-31,2,yellow
348,'S GRAVENBRAKEL,22045,55004,2020-03-31,4,blue
349,EDINGEN,13734,55010,2020-03-31,3,yellow
350,LA LOUVIERE,80637,55022,2020-03-31,11,red
351,LESSEN,18552,55023,2020-03-31,2,blue
352,LE ROEULX,8749,55035,2020-03-31,1,green
353,OPZULLIK,8407,55039,2020-03-31,0,green
354,ZINNIK,28287,55040,2020-03-31,5,blue
355,ECAUSSINNES,11189,55050,2020-03-31,0,red
356,ANDERLUES,12370,56001,2020-03-31,2,green
357,BEAUMONT,7158,56005,2020-03-31,0,red
358,BINCHE,33598,56011,2020-03-31,2,green
359,CHIMAY,9728,56016,2020-03-31,0,red
360,ERQUELINNES,9972,56022,2020-03-31,0,green
361,FROIDCHAPELLE,3992,56029,2020-03-31,0,red
362,LOBBES,5825,56044,2020-03-31,1,green
363,MERBES-LE-CHATEAU,4213,56049,2020-03-31,0,blue
364,MOMIGNIES,5340,56051,2020-03-31,0,blue
365,THUIN,14699,56078,2020-03-31,0,blue
366,ESTINNES,7715,56085,2020-03-31,0,green
367,HAM-SUR-HEURE-NALINNES,13628,56086,2020-03-31,0,green
368,MORLANWELZ,19019,56087,2020-03-31,6,red
369,SIVRY-RANCE,4791,56088,2020-03-31,0,yellow
370,ANTOING,7720,57003,2020-03-31,3,blue
371,CELLES,5695,57018,2020-03-31,0,yellow
372,ESTAIMPUIS,10557,57027,2020-03-31,0,yellow
373,PECQ,5767,57062,2020-03-31,0,blue
374,PERUWELZ,17110,57064,2020-03-31,4,blue
375,RUMES,5223,57072,2020-03-31,0,red
376,DOORNIK,68954,57081,2020-03-31,4,green
377,BRUNEHAUT,8093,57093,2020-03-31,0,red
378,LEUZE-EN-HAINAUT,13931,57094,2020-03-31,2,blue
379,MONT-DE-L'ENCLUS,3790,57095,2020-03-31,0,red
380,AMAY,14418,61003,2020-03-31,0,blue
381,BURDINNE,3290,61010,2020-03-31,0,red
382,CLAVIER,4645,61012,2020-03-31,2,red
383,FERRIERES,4997,61019,2020-03-31,0,blue
384,HAMOIR,3854,61024,2020-03-31,0,blue
385,HERON,5464,61028,2020-03-31,0,green
386,HOEI,21255,61031,2020-03-31,1,yellow
387,MARCHIN,5434,61039,2020-03-31,1,blue
388,MODAVE,4208,61041,2020-03-31,0,green
389,NANDRIN,5758,61043,2020-03-31,4,blue
390,OUFFET,2796,61048,2020-03-31,0,red
391,VERLAINE,4287,61063,2020-03-31,2,yellow
392,VILLERS-LE-BOUILLET,6599,61068,2020-03-31,0,red
393,WANZE,13708,61072,2020-03-31,2,red
394,ANTHISNES,4202,61079,2020-03-31,1,yellow
395,ENGIS,6211,61080,2020-03-31,2,blue
396,TINLOT,2739,61081,2020-03-31,0,blue
397,ANS,28621,62003,2020-03-31,0,red
398,AWANS,9231,62006,2020-03-31,1,blue
399,AYWAILLE,12382,62009,2020-03-31,1,blue
400,BITSINGEN,8930,62011,2020-03-31,0,green
401,BEYNE-HEUSAY,11891,62015,2020-03-31,8,red
402,CHAUDFONTAINE,20860,62022,2020-03-31,2,yellow
403,COMBLAIN-AU-PONT,5401,62026,2020-03-31,2,green
404,DALHEM,7520,62027,2020-03-31,0,green
405,ESNEUX,13023,62032,2020-03-31,9,red
406,FLERON,16366,62038,2020-03-31,10,yellow
407,HERSTAL,40162,62051,2020-03-31,1,green
408,JUPRELLE,9441,62060,2020-03-31,2,green
409,LUIK,196623,62063,2020-03-31,15,blue
410,OUPEYE,25444,62079,2020-03-31,2,yellow
411,SAINT-NICOLAS (LUIK),24295,62093,2020-03-31,1,blue
412,SERAING,64021,62096,2020-03-31,13,green
413,SOUMAGNE,17032,62099,2020-03-31,3,red
414,SPRIMONT,14912,62100,2020-03-31,2,yellow
415,WEZET,17899,62108,2020-03-31,2,yellow
416,GRACE-HOLLOGNE,22775,62118,2020-03-31,2,yellow
417,BLEGNY,13376,62119,2020-03-31,2,green
418,FLEMALLE,26408,62120,2020-03-31,12,red
419,NEUPRE,9965,62121,2020-03-31,3,blue
420,TROOZ,8263,62122,2020-03-31,4,blue
421,AMEL,5479,63001,2020-03-31,1,red
422,AUBEL,4253,63003,2020-03-31,0,yellow
423,BAELEN,4486,63004,2020-03-31,0,blue
424,BÜLLINGEN,5457,63012,2020-03-31,1,blue
425,BÜTGENBACH,5626,63013,2020-03-31,0,green
426,DISON,15230,63020,2020-03-31,1,yellow
427,EUPEN,19726,63023,2020-03-31,0,green
428,HERVE,17628,63035,2020-03-31,3,blue
429,JALHAY,8737,63038,2020-03-31,1,yellow
430,KELMIS,11184,63040,2020-03-31,4,yellow
431,LIERNEUX,3565,63045,2020-03-31,0,green
432,LIMBURG,5902,63046,2020-03-31,3,green
433,LONTZEN,5834,63048,2020-03-31,0,blue
434,MALMEDY,12785,63049,2020-03-31,1,yellow
435,OLNE,4038,63057,2020-03-31,0,green
436,PEPINSTER,9711,63058,2020-03-31,1,blue
437,RAEREN,10796,63061,2020-03-31,4,green
438,SANKT VITH,9770,63067,2020-03-31,0,blue
439,SPA,10156,63072,2020-03-31,2,red
440,STAVELOT,7142,63073,2020-03-31,0,red
441,STOUMONT,3172,63075,2020-03-31,0,red
442,THEUX,12007,63076,2020-03-31,3,blue
443,VERVIERS,55111,63079,2020-03-31,2,green
444,WEISMES,7380,63080,2020-03-31,0,blue
445,WELKENRAEDT,10060,63084,2020-03-31,0,red
446,TROIS-PONTS,2560,63086,2020-03-31,0,yellow
447,BURG-REULAND,3973,63087,2020-03-31,0,green
448,PLOMBIERES,10510,63088,2020-03-31,2,blue
449,THIMISTER-CLERMONT,5684,63089,2020-03-31,0,green
450,BERLOZ,3141,64008,2020-03-31,0,blue
451,BRAIVES,6382,64015,2020-03-31,2,green
452,CRISNEE,3464,64021,2020-03-31,0,red
453,DONCEEL,3089,64023,2020-03-31,0,blue
454,FEXHE-LE-HAUT-CLOCHER,3205,64025,2020-03-31,0,blue
455,GEER,3480,64029,2020-03-31,0,blue
456,HANNUIT,16636,64034,2020-03-31,0,blue
457,LIJSEM,3281,64047,2020-03-31,0,green
458,OERLE,3902,64056,2020-03-31,0,green
459,REMICOURT,5974,64063,2020-03-31,0,blue
460,SAINT-GEORGES-SUR-MEUSE,6910,64065,2020-03-31,0,red
461,BORGWORM,15436,64074,2020-03-31,2,yellow
462,WASSEIGES,2960,64075,2020-03-31,0,red
463,FAIMES,3953,64076,2020-03-31,0,blue
464,AS,8241,71002,2020-03-31,1,red
465,BERINGEN,46558,71004,2020-03-31,6,yellow
466,DIEPENBEEK,19076,71011,2020-03-31,6,yellow
467,GENK,66349,71016,2020-03-31,17,green
468,GINGELOM,8368,71017,2020-03-31,2,yellow
469,HALEN,9488,71020,2020-03-31,1,yellow
470,HASSELT,78619,71022,2020-03-31,8,blue
471,HERK-DE-STAD,12647,71024,2020-03-31,1,blue
472,LEOPOLDSBURG,15835,71034,2020-03-31,1,blue
473,LUMMEN,14967,71037,2020-03-31,0,blue
474,NIEUWERKERKEN,6994,71045,2020-03-31,0,yellow
475,OPGLABBEEK,10332,71047,2020-03-31,3,blue
476,SINT-TRUIDEN,40637,71053,2020-03-31,18,red
477,TESSENDERLO,18730,71057,2020-03-31,5,blue
478,ZONHOVEN,21324,71066,2020-03-31,5,yellow
479,ZUTENDAAL,7275,71067,2020-03-31,2,green
480,HAM,10970,71069,2020-03-31,4,yellow
481,HEUSDEN-ZOLDER,33874,71070,2020-03-31,5,blue
482,BOCHOLT,13148,72003,2020-03-31,1,red
483,BREE,16160,72004,2020-03-31,2,green
484,KINROOI,12189,72018,2020-03-31,1,yellow
485,LOMMEL,34218,72020,2020-03-31,4,green
486,MAASEIK,25284,72021,2020-03-31,3,red
487,NEERPELT,17174,72025,2020-03-31,3,yellow
488,OVERPELT,15478,72029,2020-03-31,2,red
489,PEER,16285,72030,2020-03-31,3,red
490,HAMONT-ACHEL,14294,72037,2020-03-31,1,green
491,HECHTEL-EKSEL,12503,72038,2020-03-31,0,yellow
492,HOUTHALEN-HELCHTEREN,30540,72039,2020-03-31,2,blue
493,MEEUWEN-GRUITRODE,13091,72040,2020-03-31,4,red
494,DILSEN-STOKKEM,20681,72041,2020-03-31,2,blue
495,ALKEN,11632,73001,2020-03-31,4,green
